Year,Geography,Occupation,Value
2013,Eastern region,Management occupations,40.12
2014,Eastern region,Management occupations,42.37
2015,Eastern region,Management occupations,43.8
2013,Eastern region,   Senior management occupations,52.76
2014,Eastern region,   Senior management occupations,49.89
2015,Eastern region,   Senior management occupations,54.28
2013,Eastern region,   Other management occupations,39.55
2014,Eastern region,   Other management occupations,42.08
2015,Eastern region,   Other management occupations,43.33
2013,Eastern region,"Business, finance and administrative occupations",24.06
2014,Eastern region,"Business, finance and administrative occupations",24.56
2015,Eastern region,"Business, finance and administrative occupations",25.52
2013,Eastern region,   Professional occupations in business and finance,35.4
2014,Eastern region,   Professional occupations in business and finance,35.66
2015,Eastern region,   Professional occupations in business and finance,37.72
2013,Eastern region,"   Financial, secretarial and administrative occupations",24.22
2014,Eastern region,"   Financial, secretarial and administrative occupations",25.59
2015,Eastern region,"   Financial, secretarial and administrative occupations",26.08
2013,Eastern region,"   Clerical occupations, including supervisors",19.94
2014,Eastern region,"   Clerical occupations, including supervisors",20.41
2015,Eastern region,"   Clerical occupations, including supervisors",20.96
2013,Eastern region,Natural and applied sciences and related occupations,36.46
2014,Eastern region,Natural and applied sciences and related occupations,36.75
2015,Eastern region,Natural and applied sciences and related occupations,36.97
2013,Eastern region,Health occupations,29.02
2014,Eastern region,Health occupations,29.73
2015,Eastern region,Health occupations,30.05
2013,Eastern region,"   Professional occupations in health, nurse supervisors and registered nurses",34.94
2014,Eastern region,"   Professional occupations in health, nurse supervisors and registered nurses",36.3
2015,Eastern region,"   Professional occupations in health, nurse supervisors and registered nurses",37.37
2013,Eastern region,"   Technical, assisting and related occupations in health",23.21
2014,Eastern region,"   Technical, assisting and related occupations in health",24.24
2015,Eastern region,"   Technical, assisting and related occupations in health",25.09
2013,Eastern region,"Occupations in social science, education, government service and religion",35.26
2014,Eastern region,"Occupations in social science, education, government service and religion",34.25
2015,Eastern region,"Occupations in social science, education, government service and religion",34.04
2013,Eastern region,"   Occupations in social science, government service and religion",33.58
2014,Eastern region,"   Occupations in social science, government service and religion",32.89
2015,Eastern region,"   Occupations in social science, government service and religion",31.75
2013,Eastern region,   Teachers and professors,37.48
2014,Eastern region,   Teachers and professors,36.3
2015,Eastern region,   Teachers and professors,37.15
2013,Eastern region,"Occupations in art, culture, recreation and sport",24.92
2014,Eastern region,"Occupations in art, culture, recreation and sport",23.86
2015,Eastern region,"Occupations in art, culture, recreation and sport",26.05
2013,Eastern region,Sales and service occupations,16.05
2014,Eastern region,Sales and service occupations,16.45
2015,Eastern region,Sales and service occupations,16.98
2013,Eastern region,"   Wholesale, technical, insurance, real estate sales specialists, and retail, wholesale and grain buyers",26.7
2014,Eastern region,"   Wholesale, technical, insurance, real estate sales specialists, and retail, wholesale and grain buyers",28.05
2015,Eastern region,"   Wholesale, technical, insurance, real estate sales specialists, and retail, wholesale and grain buyers",28.89
2013,Eastern region,"   Retail salespersons, sales clerks, cashiers, including retail trade supervisors",13.33
2014,Eastern region,"   Retail salespersons, sales clerks, cashiers, including retail trade supervisors",13.62
2015,Eastern region,"   Retail salespersons, sales clerks, cashiers, including retail trade supervisors",14.12
2013,Eastern region,"   Chefs and cooks, and occupations in food and beverage service, including supervisors",13.67
2014,Eastern region,"   Chefs and cooks, and occupations in food and beverage service, including supervisors",13.98
2015,Eastern region,"   Chefs and cooks, and occupations in food and beverage service, including supervisors",14.69
2013,Eastern region,   Occupation in protective services,26.81
